stack-name,category-name,group-name,title,description,icon-url,url
Application and Data,Data Stores,Databases,ZeroDB,"Moving on-premise databases to the cloud, cheaply and securely",https://img.stackshare.io/service/4104/CRMuDB1I.png,https://stackshare.io/zerodb
Application and Data,Data Stores,Database Tools,ReactiveMongo,"Non-blocking, Reactive MongoDB Driver for Scala",https://img.stackshare.io/service/2780/5060260.png,https://stackshare.io/reactivemongo
Application and Data,Data Stores,Database Tools,Pandasql,Make python speak SQL,https://img.stackshare.io/service/5852/EHeM_Es1.png,https://stackshare.io/pandasql
Application and Data,Libraries,Data Science Tools,Pandas,"High-performance, easy-to-use data structures and data analysis tools for the Python programming language",https://img.stackshare.io/service/2180/1284191.png,https://stackshare.io/pandas
Application and Data,Libraries,Data Science Tools,NumPy,Fundamental package for scientific computing with Python,https://img.stackshare.io/service/2179/288276.png,https://stackshare.io/numpy
Application and Data,Data Stores,Databases,Kyoto Tycoon,A handy cache/storage server,https://img.stackshare.io/service/1183/no-img-open-source.png,https://stackshare.io/kyoto-tycoon
Application and Data,Data Stores,Databases,Datomic,"The fully transactional, cloud-ready, distributed database",https://img.stackshare.io/service/2508/datomic-logo-500x500-no-word_normal.png,https://stackshare.io/datomic
Application and Data,Data Stores,Database Tools,Postage,A fast replacement for pgAdmin,https://img.stackshare.io/service/7406/22156405.png,https://stackshare.io/postage
Application and Data,Data Stores,Database Tools,fake2db,Create test databases that are populated with fake data,https://img.stackshare.io/service/2215/no-img-open-source.png,https://stackshare.io/fake2db
Application and Data,Data Stores,Database Tools,SQL Tabs,Rich SQL Console for Postgresql,https://img.stackshare.io/service/1150/no-img-open-source.png,https://stackshare.io/sql-tabs
Application and Data,Data Stores,Databases,rqlite,"The lightweight, distributed relational database built on SQLite",https://img.stackshare.io/service/7267/18683023.png,https://stackshare.io/rqlite
Application and Data,Data Stores,Databases,IonDB,A key-value store for microcontroller and IoT applications,https://img.stackshare.io/service/1150/no-img-open-source.png,https://stackshare.io/iondb
Application and Data,Libraries,Javascript Utilities & Libraries,Underscore,JavaScript's utility _ belt,https://img.stackshare.io/service/1150/no-img-open-source.png,https://stackshare.io/underscore
Application and Data,Data Stores,Database Tools,PSequel,A free PostgreSQL GUI Tool for Mac OS X,https://img.stackshare.io/service/2090/eUq3R7S-.png,https://stackshare.io/psequel
Application and Data,Data Stores,Database Tools,Stellar,Fast database snapshot and restore tool for development,https://img.stackshare.io/service/1392/no-img-open-source.png,https://stackshare.io/stellar
Application and Data,Data Stores,Databases,Chronix,A fast and efficient time series storage  based on Apache Lucene and Apache Solr,https://img.stackshare.io/service/5391/Aarjskc4.png,https://stackshare.io/chronix
Application and Data,Data Stores,Databases,Badger ,A fast key-value store written natively in Go,https://img.stackshare.io/service/6947/13958706.png,https://stackshare.io/badger-2
Application and Data,Libraries,Javascript Utilities & Libraries,lodash,"A modern JavaScript utility library delivering modularity, performance & extras.",https://img.stackshare.io/service/2438/lodash.png,https://stackshare.io/lodash
Application and Data,Libraries,Javascript Utilities & Libraries,Immutable.js,"Immutable persistent data collections for Javascript which increase efficiency and simplicity, by Facebook",https://img.stackshare.io/service/2823/no-img-open-source.png,https://stackshare.io/immutable-js
Application and Data,Libraries,Javascript Utilities & Libraries,UglifyJS,JavaScript parser / mangler / compressor / beautifier library for NodeJS,https://img.stackshare.io/service/2203/334725.png,https://stackshare.io/uglifyjs
Application and Data,Data Stores,Database Tools,pghoard,Tools for making PostgreSQL backups to cloud object storages,https://img.stackshare.io/service/1493/no-img-open-source.png,https://stackshare.io/pghoard
Application and Data,Data Stores,Database Tools,pREST,A fully RESTful API from any existing PostgreSQL database written in Go,https://img.stackshare.io/service/7268/16190545.png,https://stackshare.io/prest
Application and Data,Data Stores,Database Tools,PgHero,"Rails database insights made easy. Add the gem, get a dashboard with long running queries, cache hit rate, and more.",https://img.stackshare.io/service/1494/no-img-open-source.png,https://stackshare.io/pghero
Application and Data,Data Stores,Databases,JSONlite,"A simple, serverless, zero-configuration JSON document store",https://img.stackshare.io/service/6567/no-img-open-source.png,https://stackshare.io/jsonlite
Application and Data,Data Stores,Databases,TrailDB,"An efficient tool for storing and querying series of events, by AdRoll",https://img.stackshare.io/service/5165/16310720.png,https://stackshare.io/traildb
Application and Data,Data Stores,Databases,FoundationDB,"Multi-model database with particularly strong fault tolerance, performance, and operational ease.",https://img.stackshare.io/service/1501/foundation_db_boxes_only_no_border.png,https://stackshare.io/foundationdb
Utilities,Assets and Media,Image Processing and Management,imgix,Real-time image resizing service and CDN,https://img.stackshare.io/service/273/m-ZnW-IG.png,https://stackshare.io/imgix
Application and Data,Libraries,Javascript Utilities & Libraries,Prepack,A tool for making JavaScript code run faster (by Facebook),https://img.stackshare.io/service/6877/no-img-open-source.png,https://stackshare.io/prepack
Application and Data,Libraries,Javascript Utilities & Libraries,pkg,Package your Node.js project into an executable,https://img.stackshare.io/service/6883/repo-banner.png,https://stackshare.io/pkg
Application and Data,Data Stores,Database Tools,RediSQL,A Redis module that provides a functional SQL database,https://img.stackshare.io/service/6162/no-img-open-source.png,https://stackshare.io/redisql
Application and Data,Data Stores,Database Tools,Slack SQL,Execute SQL queries inside of Slack,https://img.stackshare.io/service/5129/no-img-open-source.png,https://stackshare.io/slack-sql
Application and Data,Data Stores,Database Tools,pgweb,Web-based PostgreSQL database browser written in Go.,https://img.stackshare.io/service/1593/no-img-open-source.png,https://stackshare.io/pgweb
Application and Data,Data Stores,Databases,PumpkinDB,An event sourcing database engine ,https://img.stackshare.io/service/6592/25485211.png,https://stackshare.io/pumpkindb
Application and Data,Data Stores,Databases,DalmatinerDB,"A fast, distributed metric store",https://img.stackshare.io/service/4741/dalmatinerdb.png,https://stackshare.io/dalmatinerdb
Utilities,Assets and Media,Image Processing and Management,Aviary,The world's best photo editing SDK,https://img.stackshare.io/service/258/ca3fY-gv.png,https://stackshare.io/aviary
Utilities,Assets and Media,Image Processing and Management,GraphicsMagick,The swiss army knife of image processing,https://img.stackshare.io/service/1878/graphicsmagick.png,https://stackshare.io/graphicsmagick
Application and Data,Libraries,Javascript Utilities & Libraries,Showdown,JavaScript port of Markdown,https://img.stackshare.io/service/1148/no-img-open-source.png,https://stackshare.io/showdown
Application and Data,Libraries,Javascript Utilities & Libraries,JS Beautifier,"Beautify, unpack or deobfuscate JavaScript and HTML, make JSON/JSONP readable, etc.",https://img.stackshare.io/service/1149/no-img-open-source.png,https://stackshare.io/js-beautifier
Application and Data,Libraries,Javascript Utilities & Libraries,decaffeinate,Convert CoffeeScript projects to modern JS ,https://img.stackshare.io/service/1150/no-img-open-source.png,https://stackshare.io/decaffeinate
Application and Data,Data Stores,Database Tools,Upmin Admin,Framework for creating powerful admin backends with minimal effort in Ruby on Rails,https://img.stackshare.io/service/1466/1TrkJ1LY.png,https://stackshare.io/upmin-admin
Application and Data,Data Stores,Database Tools,Atlas-DB,"Backend for managing dimensional time series data, by Netflix",https://img.stackshare.io/service/4262/913567.png,https://stackshare.io/atlas-db
Application and Data,Data Stores,Databases,NuoDB,A scale-out SQL database for global operations,https://img.stackshare.io/service/4069/10n9avn.jpg,https://stackshare.io/nuodb
Application and Data,Data Stores,Databases,ToroDB,"Open source, document-oriented, JSON database that runs on top of PostgreSQL",https://img.stackshare.io/service/1591/no-img-open-source.png,https://stackshare.io/torodb
Application and Data,Libraries,Charting Libraries,D3.js,A JavaScript visualization library for HTML and SVG,https://img.stackshare.io/service/1491/ZtYnmL9U.jpeg,https://stackshare.io/d3
Utilities,Assets and Media,Image Processing and Management,scikit-image,Image processing in Python,https://img.stackshare.io/service/1294/897180.png,https://stackshare.io/scikit-image
Utilities,Assets and Media,Image Processing and Management,Kraken.io,Image optimization and compression API,https://img.stackshare.io/service/965/6NqhDYu4.png,https://stackshare.io/kraken
Utilities,Assets and Media,Image Processing and Management,Blitline,"Image processing in the cloud (cropping, rotating, compositing, filtering)",https://img.stackshare.io/service/510/f4e4ba44bf5f4b6d1fd883da1c3a34ee.jpeg,https://stackshare.io/blitline
Application and Data,Data Stores,Database Tools,PgRebase,Codebase management for Postgres,https://img.stackshare.io/service/6061/no-img-open-source.png,https://stackshare.io/pgrebase
Application and Data,Data Stores,Database Tools,phxsql,A high availability MySQL cluster that guarantees data consistency between a master and slaves,https://img.stackshare.io/service/5763/no-img-open-source.png,https://stackshare.io/phxsql
Application and Data,Data Stores,Databases,LiteDB,A .Net NoSQL Document Store in a single data file,https://img.stackshare.io/service/7077/35m1dns.jpg,https://stackshare.io/litedb
Application and Data,Data Stores,Databases,ClustrixDB,Clustered SQL database built for e-commerce,https://img.stackshare.io/service/2555/Kmp8PU_J.jpeg,https://stackshare.io/clustrixdb
Application and Data,Libraries,Charting Libraries,Highcharts,"A charting library written in pure JavaScript, offering an easy way of adding interactive charts to your web site or web application",https://img.stackshare.io/service/1435/Vx4_Psj1.png,https://stackshare.io/highcharts
Application and Data,Libraries,Charting Libraries,C3.js,A D3-based reusable chart library,https://img.stackshare.io/service/1492/no-img-open-source.png,https://stackshare.io/c3
Utilities,Assets and Media,Image Processing and Management,Imagify,A new way to optimize your images and have a faster website!,https://img.stackshare.io/service/6540/aIPaUfMh.png,https://stackshare.io/imagify
Utilities,Assets and Media,Image Processing and Management,Firesize,On the fly image resizing. No code required. Built-in CDN.,https://img.stackshare.io/service/2698/firesize.png,https://stackshare.io/firesize
Application and Data,Data Stores,Database Tools,Quilt,Manage data like code,https://img.stackshare.io/service/7362/lqB-V4cK_400x400.jpg,https://stackshare.io/quilt
Application and Data,Data Stores,Database Tools,Pome,Postgres monitoring dashboard,https://img.stackshare.io/service/5209/no-img-open-source.png,https://stackshare.io/pome
Application and Data,Data Stores,Databases,LiteDB,A .Net NoSQL Document Store in a single data file,https://img.stackshare.io/service/7077/35m1dns.jpg,https://stackshare.io/litedb
Application and Data,Languages & Frameworks,Java Tools,guava,Google Core Libraries for Java 6+,https://img.stackshare.io/service/2970/wBjKn0ol.png,https://stackshare.io/guava
Application and Data,Libraries,Charting Libraries,ZingChart,"A JavaScript charting library that renders in HTML5 Canvas, SVG, and VML",https://img.stackshare.io/company/2252/kfNjQGQ2.png,https://stackshare.io/zingchart
Application and Data,Libraries,Charting Libraries,Plotly,The Web's fastest growing charting libraries.,https://img.stackshare.io/service/2385/5997976.jpeg,https://stackshare.io/plotly
Utilities,Assets and Media,Image Processing and Management,Caire,Content aware image resize library,https://img.stackshare.io/service/8388/no-img-open-source.png,https://stackshare.io/caire
Utilities,Assets and Media,Image Processing and Management,FilePreviews.io,Thumbnails and metadata for almost any kind of file,https://img.stackshare.io/service/924/filepicker-io.png,https://stackshare.io/filepreviews-io
Utilities,Assets and Media,Image Processing and Management,ImageBoss,On-demand image processing,https://img.stackshare.io/service/8834/HGM7urQ.png,https://stackshare.io/imageboss
Application and Data,Data Stores,Database Tools,Patroni,"A Template for PostgreSQL HA with ZooKeeper, Etcd, or Consul",https://img.stackshare.io/service/6847/no-img-open-source.png,https://stackshare.io/patroni
Application and Data,Data Stores,Database Tools,xmysql,🚀 ONE command to generate REST APIs for any MySql Database,https://img.stackshare.io/service/7839/no-img-open-source.png,https://stackshare.io/xmysql
Application and Data,Libraries,Charting Libraries,amCharts,Advanced javascript charting library that will suit any data visualization need,https://img.stackshare.io/service/2396/pptlXTHN.png,https://stackshare.io/amcharts
Application and Data,Libraries,Charting Libraries,Britecharts,Eventbrite’s reusable charting library based on D3,https://img.stackshare.io/service/6794/apple-touch-icon.png,https://stackshare.io/britecharts
Utilities,Assets and Media,Image Processing and Management,OpenCV,Open Source Computer Vision Library,https://img.stackshare.io/service/1293/opencv-logo-64x64.png,https://stackshare.io/opencv
Utilities,Assets and Media,Image Processing and Management,Cloudinary,An end-to-end image & video management solution for your web and mobile applications,https://img.stackshare.io/service/304/57bZJHyk.png,https://stackshare.io/cloudinary
Application and Data,Data Stores,Database Tools,migra,A schema diff tool for PostgreSQL,https://img.stackshare.io/service/1081/no-img-open-source.png,https://stackshare.io/migra
Application and Data,Data Stores,Database Tools,Datasette,An instant JSON API for your SQLite databases,https://img.stackshare.io/service/7921/no-img-open-source.png,https://stackshare.io/datasette
Application and Data,Libraries,Charting Libraries,AnyChart,"Robust JavaScript (HTML5) charting solution for easily adding interactive charts, maps and dashboards to web pages, apps",https://img.stackshare.io/service/3319/DzHriaGc.png,https://stackshare.io/anychart
Application and Data,Libraries,Charting Libraries,Victory,ReactJS library for building interactive data visualizations,https://img.stackshare.io/service/6115/wza5MLRA.png,https://stackshare.io/victory
Application and Data,Languages & Frameworks,Query Languages,GraphQL,A data query language and runtime,https://img.stackshare.io/service/3820/12972006.png,https://stackshare.io/graphql
Application and Data,Languages & Frameworks,Bootstrap Tools,Bootstrap Studio,Powerful desktop app for creating responsive websites using the Bootstrap framework,https://img.stackshare.io/service/4433/le1VgMC1.png,https://stackshare.io/bootstrap-studio
Application and Data,Data Stores,Database Tools,Massive,A Postgres-Centric Data Access Tool,https://img.stackshare.io/service/2982/no-img-open-source.png,https://stackshare.io/massive
